order_id,order_date,order_time,custid,status
1,01-01-2015,11:38:36,106,Delivered
2,01-01-2015,11:57:40,105,Success
3,01-01-2015,12:12:28,110,Delivered
4,01-01-2015,12:16:31,108,Success
5,01-01-2015,12:21:30,102,Success
6,01-01-2015,12:29:36,101,Delivered
7,01-01-2015,12:50:37,102,Delivered
8,01-01-2015,12:51:37,103,Success
9,01-01-2015,12:52:01,104,Delivered
10,01-01-2015,13:00:15,110,Failed
11,01-01-2015,13:02:59,106,Delivered
12,01-01-2015,13:04:41,110,Delivered
13,01-01-2015,13:11:55,110,Success
14,01-01-2015,13:14:19,105,Cancelled
15,01-01-2015,13:33:00,108,Failed
16,01-01-2015,13:34:07,103,Cancelled
17,01-01-2015,13:53:00,102,Failed
18,01-01-2015,13:57:08,101,Cancelled
19,01-01-2015,13:59:09,110,Delivered
20,01-01-2015,14:03:08,101,Success
21,01-01-2015,14:14:29,106,Delivered
22,01-01-2015,14:16:26,107,Cancelled
23,01-01-2015,14:19:03,108,Success
24,01-01-2015,14:23:01,109,Cancelled
25,01-01-2015,14:44:44,103,Cancelled
26,01-01-2015,14:54:26,106,Cancelled
27,01-01-2015,15:11:17,106,Delivered
28,01-01-2015,15:35:46,107,Delivered
29,01-01-2015,15:41:01,106,Failed
30,01-01-2015,15:41:25,105,Delivered
31,01-01-2015,15:50:18,107,Failed
32,01-01-2015,15:53:18,102,Failed
33,01-01-2015,15:54:08,102,Failed
34,01-01-2015,16:21:21,105,Cancelled
35,01-01-2015,16:32:04,105,Failed
36,01-01-2015,16:54:09,104,Failed
37,01-01-2015,16:56:09,104,Delivered
38,01-01-2015,17:03:00,104,Cancelled
39,01-01-2015,17:07:23,107,Failed
40,01-01-2015,17:14:36,110,Success
41,01-01-2015,17:15:20,105,Success
42,01-01-2015,17:28:09,108,Delivered
43,01-01-2015,17:38:34,110,Cancelled
44,01-01-2015,17:54:20,110,Success
45,01-01-2015,17:55:48,106,Delivered
46,01-01-2015,18:25:51,108,Failed
47,01-01-2015,18:26:34,103,Cancelled
48,01-01-2015,18:26:42,104,Cancelled
49,01-01-2015,18:33:00,102,Success
50,01-01-2015,18:41:01,106,Delivered
51,01-01-2015,18:48:28,106,Cancelled
52,01-01-2015,18:53:02,103,Failed
53,01-01-2015,18:54:17,108,Success
54,01-01-2015,19:01:45,105,Cancelled
55,01-01-2015,19:03:19,107,Failed
56,01-01-2015,19:07:00,104,Failed
57,01-01-2015,19:10:51,108,Success
58,01-01-2015,19:30:40,103,Failed
59,01-01-2015,19:40:08,108,Success
60,01-01-2015,20:05:16,103,Failed
61,01-01-2015,20:08:43,105,Delivered
62,01-01-2015,20:50:16,105,Failed
63,01-01-2015,20:51:42,104,Delivered
64,01-01-2015,20:52:08,109,Delivered
65,01-01-2015,21:16:00,109,Delivered
66,01-01-2015,21:47:55,110,Cancelled
67,01-01-2015,22:03:40,105,Delivered
68,01-01-2015,22:07:32,107,Delivered
69,01-01-2015,22:12:13,103,Success
70,02-01-2015,11:38:51,105,Delivered
71,02-01-2015,11:40:50,108,Failed
72,02-01-2015,11:57:25,104,Delivered
73,02-01-2015,11:58:56,102,Failed
74,02-01-2015,12:01:12,106,Delivered
75,02-01-2015,12:10:15,107,Cancelled
76,02-01-2015,12:21:17,108,Delivered
77,02-01-2015,12:22:46,104,Success
78,02-01-2015,12:28:14,110,Delivered
79,02-01-2015,12:29:11,103,Delivered
80,02-01-2015,12:35:38,105,Failed
81,02-01-2015,12:40:01,110,Cancelled
82,02-01-2015,12:45:51,102,Delivered
83,02-01-2015,12:53:27,110,Failed
84,02-01-2015,13:13:41,104,Failed
85,02-01-2015,13:34:49,101,Cancelled
86,02-01-2015,13:40:31,106,Delivered
87,02-01-2015,14:01:02,105,Cancelled
88,02-01-2015,14:10:08,108,Failed
89,02-01-2015,14:30:19,103,Failed
90,02-01-2015,15:08:48,110,Failed
91,02-01-2015,15:14:43,108,Failed
92,02-01-2015,15:17:02,107,Success
93,02-01-2015,15:29:31,102,Delivered
94,02-01-2015,16:17:16,107,Failed
95,02-01-2015,16:18:04,103,Delivered
96,02-01-2015,16:21:20,106,Cancelled
97,02-01-2015,16:45:33,108,Failed
98,02-01-2015,17:18:18,107,Cancelled
99,02-01-2015,17:45:42,110,Failed
100,02-01-2015,17:46:17,109,Delivered
101,02-01-2015,17:51:33,106,Success
102,02-01-2015,17:54:04,104,Cancelled
103,02-01-2015,18:02:09,110,Cancelled
104,02-01-2015,18:02:12,101,Delivered
105,02-01-2015,18:12:01,110,Cancelled
106,02-01-2015,18:12:13,102,Cancelled
107,02-01-2015,18:25:09,109,Failed
108,02-01-2015,18:25:25,110,Cancelled
109,02-01-2015,18:27:50,102,Cancelled
110,02-01-2015,18:36:19,108,Cancelled
111,02-01-2015,18:38:01,103,Failed
112,02-01-2015,18:41:40,103,Cancelled
113,02-01-2015,18:50:21,105,Cancelled
114,02-01-2015,18:59:32,103,Cancelled
115,02-01-2015,19:05:17,103,Delivered
